2022-07-23 11:07:09.910 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.mqdemo.MqdemoApplicationTests], using SpringBootContextLoader
2022-07-23 11:07:09.926 INFO  PID_IS_UNDEFINED --- [main] o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.mqdemo.MqdemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-07-23 11:07:09.930 INFO  PID_IS_UNDEFINED --- [main] o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.mqdemo.MqdemoApplicationTests]: MqdemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-07-23 11:07:10.175 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.mqdemo.MqdemoApplication for test class com.example.mqdemo.MqdemoApplicationTests
2022-07-23 11:07:10.395 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-07-23 11:07:10.422 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@aed0151, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@267bbe1a, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1f12e153, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@389562d6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5a101b1c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2160e52a, org.springframework.test.context.event.EventPublishingTestExecutionListener@29f0802c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3a60c416, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@60f2e0bd, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@469d003c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b410923, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@57bd2029, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@203dd56b]
2022-07-23 11:07:13.370 INFO  2472 --- [main] com.example.mqdemo.MqdemoApplicationTests - Starting MqdemoApplicationTests using Java 1.8.0_91 on SC-201909211057 with PID 2472 (started by Administrator in E:\git\demo\mqdemo)
2022-07-23 11:07:13.371 INFO  2472 --- [main] com.example.mqdemo.MqdemoApplicationTests - No active profile set, falling back to 1 default profile: "default"
2022-07-23 11:07:13.388 INFO  2472 --- [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-07-23 11:07:18.962 INFO  2472 --- [main] com.example.mqdemo.MqdemoApplicationTests - Started MqdemoApplicationTests in 8.476 seconds (JVM running for 14.449)
2022-07-23 11:09:20.115 INFO  2472 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
2022-07-23 11:09:20.118 INFO  2472 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
2022-07-23 11:09:20.124 INFO  2472 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:9876] result: true
2022-07-23 11:09:20.138 INFO  2472 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:9876] result: true
2022-07-23 11:09:20.153 INFO  2472 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
